#=================================================================,,,
# Panel,,,
# Report Suite: Main Site (Prod),,,
"# Date: Oct 1, 2020 - Dec 13, 2020",,,
#=================================================================,,,
,,,
,,,
##############################################,,,
# Freeform Table - Channel manager-cross visit (v38) (6194 items out of 6194),,,
##############################################,,,
,Membership Step 4.0 - Confirmation (ev23),Channel manager-cross visit (v38) Instances,Channel: Conversion Rate
affiliates>social,1,24,0.041666667
other natural referrers>paid search>natural search>affiliates>natural search,1,24,0.041666667
typed/bookmarked>natural search>paid search>other natural referrers,1,23,0.043478261
natural search>affiliates>other natural referrers>paid search,1,23,0.043478261
natural search>other natural referrers>paid search>other natural referrers>natural search,1,23,0.043478261
typed/bookmarked>natural search>paid search>natural search>other natural referrers,1,23,0.043478261
paid search>other natural referrers>natural search>affiliates,1,22,0.045454545
other natural referrers>paid search>other natural referrers>natural search,1,22,0.045454545
other natural referrers>affiliates>other natural referrers>natural search>other natural referrers,1,22,0.045454545
typed/bookmarked>natural search>other natural referrers>affiliates>natural search,1,22,0.045454545
typed/bookmarked>natural search>email>paid search,1,21,0.047619048
mobile app>natural search>affiliates>natural search,1,21,0.047619048
natural search>mobile app>natural search>paid search>mobile app,1,21,0.047619048
other natural referrers>affiliates>natural search>email>natural search,1,20,0.05
typed/bookmarked>natural search>paid search>natural search>affiliates,1,20,0.05
paid search>mobile app>other natural referrers>mobile app,1,20,0.05
other natural referrers>paid search>natural search>affiliates,1,20,0.05
email>natural search>other natural referrers>natural search>affiliates,1,20,0.05
affiliates>paid search>affiliates>paid search>natural search,1,20,0.05
natural search>paid search>natural search>affiliates>other natural referrers,1,20,0.05
natural social>natural search>paid search>natural search>paid search,1,19,0.052631579
typed/bookmarked>natural social>paid search,1,19,0.052631579
natural search>other natural referrers>paid search>affiliates,1,19,0.052631579
email>paid search>email>paid search>email,1,19,0.052631579
other natural referrers>affiliates>other natural referrers>natural search>affiliates,1,19,0.052631579
email>natural social>natural search>email>natural search,1,19,0.052631579
natural search>paid search>affiliates>natural search>other natural referrers,1,19,0.052631579
affiliates>other natural referrers>natural search>other natural referrers>affiliates,1,18,0.055555556
affiliates>natural search>affiliates>email>affiliates,1,18,0.055555556
paid search>affiliates>natural search>other natural referrers>affiliates,1,18,0.055555556
other natural referrers>affiliates>natural search>paid search>natural search,1,18,0.055555556
email>affiliates>other natural referrers>affiliates,1,18,0.055555556
other natural referrers>paid search>natural search>paid search,1,17,0.058823529
paid search>natural search>paid search>other natural referrers>affiliates,1,17,0.058823529
affiliates>other natural referrers>affiliates>natural search>other natural referrers,1,17,0.058823529
email>other natural referrers>affiliates>other natural referrers>affiliates,1,17,0.058823529
paid search>other natural referrers>affiliates>paid search,1,17,0.058823529
paid search>natural social>natural search>paid search>affiliates,1,16,0.0625
paid search>natural search>affiliates>email,1,16,0.0625
natural search>other natural referrers>social,1,16,0.0625
typed/bookmarked>mobile app>other natural referrers>natural search,1,16,0.0625
typed/bookmarked>affiliates>natural search>other natural referrers,1,15,0.066666667
paid search>affiliates>other natural referrers>affiliates>paid search,1,15,0.066666667
email>other natural referrers>paid search>other natural referrers,1,15,0.066666667
natural search>paid search>natural search>paid search>mobile app,1,15,0.066666667
paid search>affiliates>paid search>other natural referrers>affiliates,1,15,0.066666667
paid search>other natural referrers>affiliates>other natural referrers>natural search,1,14,0.071428571
affiliates>other natural referrers>affiliates>natural search>paid search,1,14,0.071428571
paid search>email>affiliates,1,14,0.071428571
natural search>paid search>email>affiliates,1,14,0.071428571
natural search>affiliates>natural social>affiliates,1,14,0.071428571
typed/bookmarked>affiliates>other natural referrers>affiliates>other natural referrers,1,13,0.076923077
natural search>affiliates>natural search>mobile app>other natural referrers,1,13,0.076923077
natural search>affiliates>unknown paid channel,1,13,0.076923077
other natural referrers>natural search>other natural referrers>affiliates>other natural referrers,1,13,0.076923077
other natural referrers>natural search>affiliates>other natural referrers,1,13,0.076923077
email>paid search>natural search>email>paid search,1,13,0.076923077
paid search>other natural referrers>paid search>affiliates,1,12,0.083333333
affiliates>other natural referrers>affiliates>paid search>natural search,1,12,0.083333333
natural search>affiliates>email>affiliates>email,1,12,0.083333333
other natural referrers>natural search>paid search>other natural referrers,1,12,0.083333333
typed/bookmarked>other natural referrers>paid search>natural search,1,12,0.083333333
other natural referrers>paid search>natural social>other natural referrers>paid search,1,12,0.083333333
affiliates>paid search>natural search>paid search>affiliates,1,11,0.090909091
email>affiliates>paid search>natural search,1,11,0.090909091
typed/bookmarked>paid search>email>paid search,1,11,0.090909091
mobile app>other natural referrers>mobile app>paid search>natural search,1,11,0.090909091
natural search>mobile app>other natural referrers>mobile app>paid search,1,10,0.1
other natural referrers>natural search>affiliates>natural social>affiliates,1,10,0.1
paid search>natural search>natural social>natural search>paid search,1,10,0.1
other natural referrers>affiliates>paid search>natural search>affiliates,1,10,0.1
paid search>mobile app>paid search>natural search>paid search,1,10,0.1
natural search>other natural referrers>affiliates>email,1,10,0.1
email>other natural referrers>natural search>mobile app>natural search,1,10,0.1
natural search>affiliates>other natural referrers>paid search>affiliates,1,10,0.1
paid search>affiliates>natural search>affiliates>paid search,1,10,0.1
natural social>natural search>paid search>affiliates>natural search,1,10,0.1
paid search>other natural referrers>affiliates>natural search>affiliates,1,10,0.1
natural search>other natural referrers>paid search>affiliates>paid search,1,10,0.1
paid search>other natural referrers>paid search>affiliates>paid search,1,10,0.1
email>natural search>affiliates>other natural referrers>affiliates,1,9,0.111111111
paid search>affiliates>paid search>other natural referrers,1,9,0.111111111
natural search>affiliates>natural search>social>natural search,1,9,0.111111111
unknown paid channel>natural search>affiliates,1,9,0.111111111
affiliates>unknown paid channel>affiliates>paid search>natural search,1,9,0.111111111
other natural referrers>paid search>natural search>other natural referrers>paid search,1,9,0.111111111
paid search>affiliates>natural search>affiliates>other natural referrers,1,9,0.111111111
email>natural search>other natural referrers>affiliates,1,9,0.111111111
natural search>paid search>other natural referrers>affiliates>other natural referrers,1,8,0.125
paid search>natural search>email>other natural referrers>email,1,8,0.125
typed/bookmarked>mobile app>paid search>affiliates,1,8,0.125
typed/bookmarked>natural search>email>affiliates,1,8,0.125
affiliates>other natural referrers>paid search>natural search>affiliates,1,8,0.125
typed/bookmarked>paid search>affiliates>other natural referrers>affiliates,1,8,0.125
other natural referrers>affiliates>natural search>affiliates>other natural referrers,1,8,0.125
natural search>unknown paid channel>mobile app,1,8,0.125
natural search>paid search>mobile app>paid search>natural search,1,8,0.125
owned site>affiliates,1,8,0.125
mobile app>paid search>affiliates,1,7,0.142857143
typed/bookmarked>paid search>affiliates>paid search>affiliates,1,7,0.142857143
other natural referrers>natural search>paid search>affiliates>natural search,1,7,0.142857143
typed/bookmarked>natural search>paid search>mobile app,1,7,0.142857143
affiliates>natural search>paid search>other natural referrers>affiliates,1,7,0.142857143
natural search>email>other natural referrers>affiliates,1,6,0.166666667
natural search>paid search>other natural referrers>natural search>affiliates,1,6,0.166666667
natural search>mobile app>other natural referrers>natural search>paid search,1,6,0.166666667
affiliates>natural search>other natural referrers>email,1,6,0.166666667
affiliates>natural search>email>natural search>mobile app,1,6,0.166666667
paid search>mobile app>natural search>paid search,1,6,0.166666667
natural search>paid search>other natural referrers>paid search>affiliates,1,6,0.166666667
natural search>other natural referrers>affiliates>natural search>email,1,6,0.166666667
other natural referrers>affiliates>other natural referrers>affiliates>email,1,6,0.166666667
other natural referrers>affiliates>paid search>affiliates>other natural referrers,1,5,0.2
other natural referrers>paid search>affiliates>paid search>affiliates,1,5,0.2
typed/bookmarked>mobile app>natural search>affiliates,1,5,0.2
typed/bookmarked>natural search>natural social>natural search>affiliates,1,5,0.2
paid search>mobile app>affiliates,1,5,0.2
email>paid search>natural search>mobile app,1,5,0.2
typed/bookmarked>affiliates>other natural referrers>affiliates>email,1,4,0.25
natural search>mobile app>other natural referrers>affiliates,1,4,0.25
paid search>unknown paid channel>natural search>affiliates,1,4,0.25
natural search>affiliates>paid search>natural search>other natural referrers,1,4,0.25
natural search>paid search>owned site,1,4,0.25
natural social>paid search>natural search>paid search,1,4,0.25
paid search>email>affiliates>natural search,1,4,0.25
email>natural search>paid search>natural search>natural social,1,4,0.25
paid search>affiliates>paid search>email>affiliates,1,4,0.25
email>paid search>natural search>paid search>affiliates,1,4,0.25
typed/bookmarked>affiliates>other natural referrers>paid search>natural search,1,4,0.25
natural search>affiliates>mobile app>other natural referrers>mobile app,1,4,0.25
natural search>social>paid search>natural search>paid search,1,4,0.25
mobile app>paid search>other natural referrers>natural search,1,3,0.333333333
typed/bookmarked>affiliates>email>affiliates,1,3,0.333333333
typed/bookmarked>paid search>mobile app>other natural referrers,1,3,0.333333333
affiliates>other natural referrers>affiliates>paid search>other natural referrers,1,3,0.333333333
natural search>paid search>mobile app>other natural referrers>paid search,1,3,0.333333333
email>mobile app>natural search>other natural referrers>mobile app,1,3,0.333333333
other natural referrers>affiliates>natural social>other natural referrers,1,3,0.333333333
paid search>natural search>email>affiliates,1,3,0.333333333
paid search>natural social>other natural referrers>affiliates,1,3,0.333333333
email>paid search>affiliates>other natural referrers>affiliates,1,3,0.333333333
other natural referrers>email>affiliates>email>affiliates,1,3,0.333333333
other natural referrers>email>paid search>natural search,1,3,0.333333333
other natural referrers>natural search>affiliates>paid search>affiliates,1,3,0.333333333
paid search>affiliates>paid search>affiliates>email,1,2,0.5
typed/bookmarked>natural search>paid search>affiliates>other natural referrers,1,2,0.5
paid search>affiliates>mobile app>other natural referrers,1,2,0.5
typed/bookmarked>other natural referrers>natural search>mobile app>affiliates,1,2,0.5
natural search>affiliates>mobile app>natural search>affiliates,1,2,0.5
social>email>social>paid search,1,2,0.5
paid search>natural search>paid search>natural search>social,1,2,0.5
natural search>owned site>natural search>other natural referrers>affiliates,1,2,0.5
paid search>other natural referrers>natural search>paid search>affiliates,1,2,0.5
mobile app>natural search>email>natural search>paid search,1,2,0.5
other natural referrers>email>affiliates>other natural referrers>email,1,2,0.5
natural search>email>paid search>affiliates>paid search,1,2,0.5
typed/bookmarked>affiliates>other natural referrers>natural search>affiliates,1,2,0.5
natural search>affiliates>unknown paid channel>natural search,1,2,0.5
paid search>other natural referrers>affiliates>mobile app>other natural referrers,1,2,0.5
other natural referrers>email>natural search>email>paid search,1,2,0.5
natural search>natural social>paid search>natural search>affiliates,1,2,0.5
print>natural social>print>natural social>email,1,2,0.5
paid search>unknown paid channel>paid search>natural search>affiliates,1,2,0.5
other natural referrers>email>natural search>email>affiliates,1,2,0.5
other natural referrers>affiliates>paid search>other natural referrers>paid search,1,2,0.5
typed/bookmarked>natural search>affiliates>email>affiliates,1,2,0.5
natural search>paid search>email>paid search>affiliates,1,2,0.5
paid search>affiliates>natural search>unknown paid channel,1,1,1
typed/bookmarked>affiliates>natural social>affiliates>natural search,1,1,1
paid search>email>natural search>other natural referrers>affiliates,1,1,1
typed/bookmarked>natural search>affiliates>paid search>affiliates,1,1,1
typed/bookmarked>affiliates>paid search>natural search>affiliates,1,1,1
other natural referrers>affiliates>natural search>mobile app>other natural referrers,1,1,1
natural search>natural social>other natural referrers>natural social>affiliates,1,1,1
natural search>paid search>mobile app>other natural referrers>affiliates,1,1,1
mobile app>paid search>natural search>affiliates,1,1,1
affiliates>natural search>paid search>other natural referrers,1,1,1
typed/bookmarked>natural search>other natural referrers>paid search>other natural referrers,1,1,1
paid search>mobile app>affiliates>other natural referrers>affiliates,1,1,1
mobile app>natural search>paid search>affiliates>paid search,1,1,1
other natural referrers>mobile app>paid search>natural search>other natural referrers,1,1,1
paid search>natural search>natural social>paid search>affiliates,1,1,1
natural search>mobile app>paid search>other natural referrers>affiliates,1,1,1
other natural referrers>email>natural search>paid search>affiliates,1,1,1
affiliates>email>mobile app>affiliates>mobile app,1,1,1
natural search>other natural referrers>paid search>mobile app>paid search,1,1,1
natural search>email>affiliates>other natural referrers>affiliates,1,1,1
paid search>other natural referrers>affiliates>email>paid search,1,1,1
natural search>other natural referrers>mobile app>other natural referrers>email,1,1,1
other natural referrers>affiliates>paid search>email>paid search,1,1,1
typed/bookmarked>other natural referrers>natural search>paid search>affiliates,1,1,1
paid search>natural search>affiliates>email>affiliates,1,1,1
paid search>natural social>natural search>paid search>natural social,1,1,1
affiliates>natural search>mobile app>affiliates,1,1,1
other natural referrers>natural search>paid search>other natural referrers>mobile app,1,1,1
natural search>mobile app>email>social>email,1,1,1
